Date ,Ward,Cumulative_cases,Num_of_sealed_buildings,Num_of_containment_zones_slums_and_chawls,Num_of_sealed_floors
2020-06-27,RS,2635,362,43,
2020-06-27,S,4119,166,76,
2020-06-27,T,2336,282,42,
2020-06-28,A,1776,67,16,
2020-06-28,B,750,60,7,
2020-06-28,C,1046,52,10,
2020-06-28,D,2448,197,13,
2020-06-28,E,3139,39,15,
2020-06-28,FN,3359,532,22,
2020-06-28,FS,3916,172,34,
2020-06-28,GN,4811,262,13,
2020-06-28,GS,3645,197,8,
2020-06-28,HE,3458,141,18,
2020-06-28,HW,1880,200,31,
2020-06-28,KE,5172,569,41,
2020-06-28,KW,4421,246,55,
2020-06-28,L,4051,97,72,
2020-06-28,ME,3065,157,74,
2020-06-28,MW,2341,63,11,
2020-06-28,N,3878,256,15,
2020-06-28,PN,4396,495,31,
2020-06-28,PS,2320,223,30,
2020-06-28,RC,2554,606,11,
2020-06-28,RN,1602,270,40,
2020-06-28,RS,2698,401,43,
2020-06-28,S,4240,147,74,
2020-06-28,T,2437,382,42,
2020-06-29,A,1788,62,18,
2020-06-29,B,760,52,5,
2020-06-29,C,1055,55,10,
2020-06-29,D,2493,191,13,
2020-06-29,E,3164,39,15,
2020-06-29,FN,3403,532,22,
2020-06-29,FS,3979,177,34,
2020-06-29,GN,4864,237,13,
2020-06-29,GS,3683,195,8,
2020-06-29,HE,3469,134,18,
2020-06-29,HW,1910,174,30,
2020-06-29,KE,5242,569,41,
2020-06-29,KW,4472,268,55,
2020-06-29,L,4087,133,96,
2020-06-29,ME,3101,157,74,
2020-06-29,MW,2378,58,10,
2020-06-29,N,3960,234,15,
2020-06-29,PN,4486,497,31,
2020-06-29,PS,2364,246,30,
2020-06-29,RC,2624,636,11,
2020-06-29,RN,1633,278,42,
2020-06-29,RS,2745,422,43,
2020-06-29,S,4381,147,74,
2020-06-29,T,2536,382,42,
2020-06-30,A,1817,61,18,
2020-06-30,B,772,50,6,
2020-06-30,C,1065,57,10,
2020-06-30,D,2533,214,14,
2020-06-30,E,3186,39,15,
2020-06-30,FN,3426,532,22,
2020-06-30,FS,4011,185,34,
2020-06-30,GN,4913,238,13,
2020-06-30,GS,3711,194,7,
2020-06-30,HE,3484,126,18,
2020-06-30,HW,1942,196,33,
2020-06-30,KE,5301,681,41,
2020-06-30,KW,4512,268,55,
2020-06-30,L,4110,133,95,
2020-06-30,ME,3117,167,74,
2020-06-30,MW,2386,62,10,
2020-06-30,N,4009,311,15,
2020-06-30,PN,4553,495,31,
2020-06-30,PS,2396,259,31,
2020-06-30,RC,2691,672,11,
2020-06-30,RN,1671,278,42,
2020-06-30,RS,2791,411,44,
2020-06-30,S,4430,144,74,
2020-06-30,T,2608,401,42,
2020-07-01,A,1833,56,20,
2020-07-01,B,777,49,7,
2020-07-01,C,1085,48,10,
2020-07-01,D,2601,215,14,
2020-07-01,E,3225,39,15,
2020-07-01,FN,3462,532,22,
2020-07-01,FS,4084,192,34,
2020-07-01,GN,4967,245,13,
2020-07-01,GS,3758,200,7,
2020-07-01,HE,3514,122,17,
2020-07-01,HW,1991,200,36,
2020-07-01,KE,5401,718,41,
2020-07-01,KW,4616,226,55,
2020-07-01,L,4155,133,95,
2020-07-01,ME,3154,168,74,
2020-07-01,MW,2430,61,10,
2020-07-01,N,4082,314,15,
2020-07-01,PN,4671,499,31,
2020-07-01,PS,2437,268,27,
2020-07-01,RC,2785,712,11,
2020-07-01,RN,1705,293,43,
2020-07-01,RS,2880,412,41,
2020-07-01,S,4552,150,74,
2020-07-01,T,2716,401,42,
2020-07-02,A,1863,57,20,
2020-07-02,B,783,50,7,
2020-07-02,C,1092,48,10,
2020-07-02,D,2648,212,13,
2020-07-02,E,3266,39,15,
2020-07-02,FN,3499,532,22,
2020-07-02,FS,4155,197,34,
2020-07-02,GN,5032,252,13,
2020-07-02,GS,3811,201,7,
2020-07-02,HE,3536,129,17,
2020-07-02,HW,2018,199,35,
2020-07-02,KE,5507,718,41,
2020-07-02,KW,4706,255,56,
2020-07-02,L,4193,133,96,
2020-07-02,ME,3185,168,74,
2020-07-02,MW,2464,68,11,
2020-07-02,N,4143,323,14,
2020-07-02,PN,4815,505,31,
2020-07-02,PS,2526,188,25,
2020-07-02,RC,2914,789,11,
2020-07-02,RN,1759,313,39,
2020-07-02,RS,2997,426,41,
2020-07-02,S,4646,149,74,
2020-07-02,T,2820,401,51,
2020-07-03,A,1876,57,20,
2020-07-03,B,787,47,6,
2020-07-03,C,1103,51,10,
2020-07-03,D,2695,212,11,
2020-07-03,E,3289,37,15,
2020-07-03,FN,3540,532,21,
2020-07-03,FS,4198,197,34,
2020-07-03,GN,5099,260,13,
2020-07-03,GS,3854,200,7,
2020-07-03,HE,3570,132,17,
2020-07-03,HW,2064,188,33,
2020-07-03,KE,5586,728,41,
2020-07-03,KW,4771,298,55,
2020-07-03,L,4218,133,96,
2020-07-03,ME,3234,168,74,
2020-07-03,MW,2496,73,11,
2020-07-03,N,4205,334,14,
2020-07-03,PN,4938,532,31,
2020-07-03,PS,2570,204,26,
2020-07-03,RC,3009,842,11,
2020-07-03,RN,1807,205,39,
2020-07-03,RS,3079,464,41,
2020-07-03,S,4756,148,75,
2020-07-03,T,2945,401,51,
2020-07-04,A,1894,59,20,
2020-07-04,B,798,51,6,
2020-07-04,C,1114,53,11,
2020-07-04,D,2742,227,13,
2020-07-04,E,3323,37,15,
2020-07-04,FN,3571,532,21,
2020-07-04,FS,4268,200,34,
2020-07-04,GN,5156,246,13,
2020-07-04,GS,3900,190,5,
2020-07-04,HE,3587,139,17,
2020-07-04,HW,2093,206,33,
2020-07-04,KE,5660,728,41,
2020-07-04,KW,4828,312,55,
2020-07-04,L,4257,120,87,
2020-07-04,ME,3273,168,74,
2020-07-04,MW,2526,73,12,
2020-07-04,N,4256,356,14,
2020-07-04,PN,5015,516,31,
2020-07-04,PS,2597,221,28,
2020-07-04,RC,3070,761,11,
2020-07-04,RN,1841,192,39,
2020-07-04,RS,3171,478,41,
2020-07-04,S,4838,150,75,
2020-07-04,T,3025,401,51,
2020-07-05,A,1915,59,21,
2020-07-05,B,799,51,7,
2020-07-05,C,1126,53,11,
2020-07-05,D,2794,227,13,
2020-07-05,E,3361,37,15,
2020-07-05,FN,3607,532,21,
2020-07-05,FS,4303,202,34,
2020-07-05,GN,5217,244,13,
2020-07-05,GS,3935,191,5,
2020-07-05,HE,3610,139,17,
2020-07-05,HW,2128,206,33,
2020-07-05,KE,5715,728,41,
2020-07-05,KW,4915,313,55,
2020-07-05,L,4290,118,87,
2020-07-05,ME,3313,170,74,
2020-07-05,MW,2560,73,12,
2020-07-05,N,4319,355,14,
2020-07-05,PN,5129,521,31,
2020-07-05,PS,2636,220,28,
2020-07-05,RC,3201,772,11,
2020-07-05,RN,1889,194,39,
2020-07-05,RS,3250,599,41,
2020-07-05,S,4909,147,76,
2020-07-05,T,3122,401,51,
2020-07-06,A,1940,62,21,
2020-07-06,B,803,50,7,
2020-07-06,C,1146,58,11,
2020-07-06,D,2844,226,13,
2020-07-06,E,3394,37,15,
2020-07-06,FN,3636,532,21,
2020-07-06,FS,4354,204,34,
2020-07-06,GN,5276,246,13,
2020-07-06,GS,3970,190,5,
2020-07-06,HE,3635,151,17,
2020-07-06,HW,2154,211,33,
2020-07-06,KE,5781,728,41,
2020-07-06,KW,4987,303,55,
2020-07-06,L,4322,120,87,
2020-07-06,ME,3349,168,74,
2020-07-06,MW,2586,73,12,
2020-07-06,N,4376,356,14,
2020-07-06,PN,5242,552,31,
2020-07-06,PS,2667,221,28,
2020-07-06,RC,3265,830,11,
2020-07-06,RN,1938,192,39,
2020-07-06,RS,3330,484,41,
2020-07-06,S,5003,155,76,
2020-07-06,T,3199,453,51,
2020-07-07,A,1943,55,17,
2020-07-07,B,807,40,4,
2020-07-07,C,1158,66,11,
2020-07-07,D,2877,254,17,
2020-07-07,E,3422,37,15,
2020-07-07,FN,3661,532,21,
2020-07-07,FS,4398,207,34,
2020-07-07,GN,5307,233,11,
2020-07-07,GS,3997,193,5,
2020-07-07,HE,3644,152,17,
2020-07-07,HW,2168,186,35,
2020-07-07,KE,5834,788,41,
2020-07-07,KW,5038,310,55,
2020-07-07,L,4346,120,87,
2020-07-07,ME,3369,169,74,
2020-07-07,MW,2608,87,11,
2020-07-07,N,4410,361,14,
2020-07-07,PN,5282,510,29,
2020-07-07,PS,2697,241,26,
2020-07-07,RC,3343,715,11,
2020-07-07,RN,1965,223,43,
2020-07-07,RS,3393,528,33,
2020-07-07,S,5052,146,75,
2020-07-07,T,3237,512,58,
2020-07-08,A,1961,55,16,
2020-07-08,B,812,40,5,
2020-07-08,C,1174,51,11,
2020-07-08,D,2928,251,17,
2020-07-08,E,3477,37,15,
2020-07-08,FN,3696,532,21,
2020-07-08,FS,4457,213,34,
2020-07-08,GN,5378,225,11,
2020-07-08,GS,4039,193,5,
2020-07-08,HE,3669,115,17,
2020-07-08,HW,2201,180,34,
2020-07-08,KE,5934,800,41,
2020-07-08,KW,5121,309,56,
2020-07-08,L,4379,107,96,
2020-07-08,ME,3396,169,74,
2020-07-08,MW,2650,81,11,
2020-07-08,N,4466,378,15,
2020-07-08,PN,5382,510,28,
2020-07-08,PS,2737,191,20,
2020-07-08,RC,3410,752,11,
2020-07-08,RN,2023,237,37,
2020-07-08,RS,3472,530,34,
2020-07-08,S,5132,144,76,
2020-07-08,T,3350,534,61,
2020-07-09,A,1975,57,17,
2020-07-09,B,817,39,5,
2020-07-09,C,1194,50,12,
2020-07-09,D,3011,257,21,
2020-07-09,E,3508,37,15,
2020-07-09,FN,3729,532,21,
2020-07-09,FS,4498,140,34,
2020-07-09,GN,5429,211,11,
2020-07-09,GS,4082,180,5,
2020-07-09,HE,3687,113,17,
2020-07-09,HW,2238,181,33,
2020-07-09,KE,5980,789,41,
2020-07-09,KW,5212,312,56,
2020-07-09,L,4419,102,95,
2020-07-09,ME,3427,169,74,
2020-07-09,MW,2682,83,11,
2020-07-09,N,4526,358,15,
2020-07-09,PN,5490,510,28,
2020-07-09,PS,2775,213,20,
2020-07-09,RC,3511,793,11,
2020-07-09,RN,2069,237,37,
2020-07-09,RS,3582,535,36,
2020-07-09,S,5208,139,74,
2020-07-09,T,3428,560,62,
2020-07-10,A,2006,56,12,
2020-07-10,B,827,41,5,
2020-07-10,C,1227,55,12,
2020-07-10,D,3083,257,17,
2020-07-10,E,3557,37,15,
2020-07-10,FN,3765,534,21,
2020-07-10,FS,4540,149,34,
2020-07-10,GN,5499,208,11,
2020-07-10,GS,4124,182,5,
2020-07-10,HE,3702,109,17,
2020-07-10,HW,2278,177,25,
2020-07-10,KE,6051,805,41,
2020-07-10,KW,5300,315,56,
2020-07-10,L,4456,105,91,
2020-07-10,ME,3458,179,75,
2020-07-10,MW,2731,88,11,
2020-07-10,N,4598,371,15,
2020-07-10,PN,5603,511,29,
2020-07-10,PS,2810,213,20,
2020-07-10,RC,3613,839,11,
2020-07-10,RN,2121,253,38,
2020-07-10,RS,3636,551,34,
2020-07-10,S,5280,143,74,
2020-07-10,T,3515,573,63,
2020-07-11,A,2025,58,12,
2020-07-11,B,842,43,4,
2020-07-11,C,1246,61,12,
2020-07-11,D,3146,275,18,
2020-07-11,E,3597,37,15,
2020-07-11,FN,3785,534,21,
2020-07-11,FS,4603,151,34,
2020-07-11,GN,5550,199,11,
2020-07-11,GS,4167,176,5,
2020-07-11,HE,3719,112,17,
2020-07-11,HW,2316,192,25,
2020-07-11,KE,6148,822,41,
2020-07-11,KW,5368,316,57,
2020-07-11,L,4489,101,91,
2020-07-11,ME,3481,179,75,
2020-07-11,MW,2761,92,12,
2020-07-11,N,4684,437,15,
2020-07-11,PN,5695,518,29,
2020-07-11,PS,2848,213,20,
2020-07-11,RC,3727,652,11,
2020-07-11,RN,2146,258,39,
2020-07-11,RS,3728,558,34,
2020-07-11,S,5352,148,68,
2020-07-11,T,3599,540,46,
2020-07-12,A,2095,58,13,
2020-07-12,B,858,47,4,
2020-07-12,C,1264,66,12,
2020-07-12,D,3246,273,15,
2020-07-12,E,3643,37,15,
2020-07-12,FN,3859,534,21,
2020-07-12,FS,4679,159,34,
2020-07-12,GN,5628,199,11,
2020-07-12,GS,4219,183,5,
2020-07-12,HE,3759,119,17,
2020-07-12,HW,2388,192,25,
2020-07-12,KE,6220,822,41,
2020-07-12,KW,5440,330,58,
2020-07-12,L,4540,99,84,
2020-07-12,ME,3517,179,75,
2020-07-12,MW,2825,92,12,
2020-07-12,N,4789,387,15,
2020-07-12,PN,5786,518,29,
2020-07-12,PS,2896,245,21,
2020-07-12,RC,3823,680,11,
2020-07-12,RN,2195,258,39,
2020-07-12,RS,3798,558,34,
2020-07-12,S,5448,139,66,
2020-07-12,T,3703,515,47,
2020-07-13,A,2120,60,13,
2020-07-13,B,866,57,6,
2020-07-13,C,1282,69,13,
2020-07-13,D,3299,293,16,
2020-07-13,E,3695,37,15,
2020-07-13,FN,3892,102,21,
2020-07-13,FS,4728,164,34,
2020-07-13,GN,5671,184,11,
2020-07-13,GS,4251,197,5,
2020-07-13,HE,3770,117,17,
2020-07-13,HW,2406,176,26,
2020-07-13,KE,6285,793,41,
2020-07-13,KW,5515,358,58,
2020-07-13,L,4574,100,84,
2020-07-13,ME,3550,181,75,
2020-07-13,MW,2845,92,12,
2020-07-13,N,4870,383,15,
2020-07-13,PN,5871,580,29,
2020-07-13,PS,2927,245,21,
2020-07-13,RC,3902,721,11,
2020-07-13,RN,2235,279,41,
2020-07-13,RS,3852,583,31,
2020-07-13,S,5518,138,66,
2020-07-13,T,3793,528,47,
2020-07-14,A,2136,55,12,
2020-07-14,B,872,57,6,
2020-07-14,C,1291,50,14,
2020-07-14,D,3352,288,18,
2020-07-14,E,3720,37,15,
2020-07-14,FN,3925,149,21,
2020-07-14,FS,4769,166,34,
2020-07-14,GN,5742,188,11,
2020-07-14,GS,4275,179,5,
2020-07-14,HE,3778,109,17,
2020-07-14,HW,2437,182,24,
2020-07-14,KE,6335,666,41,
2020-07-14,KW,5568,355,58,
2020-07-14,L,4599,100,82,
2020-07-14,ME,3578,181,75,
2020-07-14,MW,2872,92,12,
2020-07-14,N,4921,383,15,
2020-07-14,PN,5934,505,29,
2020-07-14,PS,2948,185,19,
2020-07-14,RC,4014,773,11,
2020-07-14,RN,2254,171,42,
2020-07-14,RS,3906,575,32,
2020-07-14,S,5552,137,69,
2020-07-14,T,3836,537,47,
2020-07-15,A,2192,55,13,
2020-07-15,B,878,57,8,
2020-07-15,C,1315,50,14,
2020-07-15,D,3421,288,19,
2020-07-15,E,3763,38,15,
2020-07-15,FN,3958,155,21,
2020-07-15,FS,4821,163,34,
2020-07-15,GN,5837,191,11,
2020-07-15,GS,4346,175,5,
2020-07-15,HE,3799,115,17,
2020-07-15,HW,2483,177,23,
2020-07-15,KE,6417,667,41,
2020-07-15,KW,5641,355,58,
2020-07-15,L,4624,100,78,
2020-07-15,ME,3615,179,75,
2020-07-15,MW,2918,96,12,
2020-07-15,N,4990,386,16,
2020-07-15,PN,6029,505,29,
2020-07-15,PS,2983,186,19,
2020-07-15,RC,4102,777,11,
2020-07-15,RN,2292,171,37,
2020-07-15,RS,3990,577,31,
2020-07-15,S,5625,207,69,
2020-07-15,T,3916,542,47,
2020-07-16,A,2243,60,13,
2020-07-16,B,890,50,6,
2020-07-16,C,1324,51,13,
2020-07-16,D,3481,274,17,
2020-07-16,E,3821,40,15,
2020-07-16,FN,3990,199,21,
2020-07-16,FS,4887,167,34,
2020-07-16,GN,5922,195,11,
2020-07-16,GS,4390,178,5,
2020-07-16,HE,3834,104,17,
2020-07-16,HW,2521,177,23,
2020-07-16,KE,6497,667,41,
2020-07-16,KW,5734,357,58,
2020-07-16,L,4670,100,77,
2020-07-16,ME,3651,181,75,
2020-07-16,MW,2948,88,11,
2020-07-16,N,5049,361,16,
2020-07-16,PN,6095,499,31,
2020-07-16,PS,3046,187,19,
2020-07-16,RC,4237,730,11,
2020-07-16,RN,2342,183,38,
2020-07-16,RS,4095,551,32,
2020-07-16,S,5712,105,68,
2020-07-16,T,3994,499,48,
2020-07-17,A,2268,58,15,
2020-07-17,B,894,57,6,
2020-07-17,C,1354,49,13,
2020-07-17,D,3547,284,18,
2020-07-17,E,3863,37,15,
2020-07-17,FN,4021,252,21,
2020-07-17,FS,4930,177,34,
2020-07-17,GN,5984,194,12,
2020-07-17,GS,4419,176,6,
2020-07-17,HE,3851,105,17,
2020-07-17,HW,2560,179,23,
2020-07-17,KE,6565,716,41,
2020-07-17,KW,5778,357,58,
2020-07-17,L,4722,96,78,
2020-07-17,ME,3688,181,75,
2020-07-17,MW,2972,93,11,
2020-07-17,N,5133,343,16,
2020-07-17,PN,6168,505,31,
2020-07-17,PS,3095,182,19,
2020-07-17,RC,4321,720,11,
2020-07-17,RN,2382,182,38,
2020-07-17,RS,4157,596,32,
2020-07-17,S,5771,132,69,
2020-07-17,T,4061,564,49,
2020-07-18,A,2315,60,16,
2020-07-18,B,883,54,5,
2020-07-18,C,1340,50,13,
2020-07-18,D,3524,275,19,
2020-07-18,E,3976,37,15,
2020-07-18,FN,4020,252,21,
2020-07-18,FS,4724,179,34,
2020-07-18,GN,6046,198,12,
2020-07-18,GS,4462,185,6,
2020-07-18,HE,3794,108,17,
2020-07-18,HW,2633,179,23,
2020-07-18,KE,6608,716,41,
2020-07-18,KW,5819,363,59,
2020-07-18,L,4692,91,74,
2020-07-18,ME,3701,181,75,
2020-07-18,MW,2981,91,12,
2020-07-18,N,5257,346,16,
2020-07-18,PN,6136,513,31,
2020-07-18,PS,3140,201,20,
2020-07-18,RC,4394,777,11,
2020-07-18,RN,2420,198,39,
2020-07-18,RS,4293,557,32,
2020-07-18,S,5803,131,69,
2020-07-18,T,4090,421,31,
2020-07-19,A,2330,58,16,
2020-07-19,B,891,55,7,
2020-07-19,C,1350,45,13,
2020-07-19,D,3569,283,19,
2020-07-19,E,4014,38,15,
2020-07-19,FN,4060,251,21,
2020-07-19,FS,4780,182,34,
2020-07-19,GN,6094,199,12,
2020-07-19,GS,4503,183,6,
2020-07-19,HE,3808,108,17,
2020-07-19,HW,2659,162,14,
2020-07-19,KE,6658,711,41,
2020-07-19,KW,5879,364,59,
2020-07-19,L,4726,90,70,
2020-07-19,ME,3723,179,75,
2020-07-19,MW,3007,95,12,
2020-07-19,N,5334,347,16,
2020-07-19,PN,6209,471,29,
2020-07-19,PS,3186,208,20,
2020-07-19,RC,4462,807,11,
2020-07-19,RN,2445,194,39,
2020-07-19,RS,4349,591,32,
2020-07-19,S,5856,131,68,
2020-07-19,T,4135,421,31,
2020-07-20,A,2355,54,17,
2020-07-20,B,892,57,7,
2020-07-20,C,1367,48,12,
2020-07-20,D,3617,295,22,
2020-07-20,E,4047,37,15,
2020-07-20,FN,4095,252,21,
2020-07-20,FS,4823,185,34,
2020-07-20,GN,6154,199,13,
2020-07-20,GS,4531,186,6,
2020-07-20,HE,3823,109,17,
2020-07-20,HW,2688,152,14,
2020-07-20,KE,6711,748,41,
2020-07-20,KW,5925,359,59,
2020-07-20,L,4767,90,70,
2020-07-20,ME,3758,101,45,
2020-07-20,MW,3033,101,13,
2020-07-20,N,5385,352,16,
2020-07-20,PN,6265,493,29,
2020-07-20,PS,3219,221,20,
2020-07-20,RC,4538,704,11,
2020-07-20,RN,2471,211,40,
2020-07-20,RS,4430,557,32,
2020-07-20,S,5904,135,68,
2020-07-20,T,4192,441,32,
2020-07-21,A,2385,58,17,
2020-07-21,B,894,54,8,
2020-07-21,C,1374,43,12,
2020-07-21,D,3673,290,20,
2020-07-21,E,4081,37,15,
2020-07-21,FN,4121,252,21,
2020-07-21,FS,4871,186,34,
2020-07-21,GN,6172,196,13,
2020-07-21,GS,4558,174,6,
2020-07-21,HE,3842,108,17,
2020-07-21,HW,2718,166,14,
2020-07-21,KE,6777,768,41,
2020-07-21,KW,6003,386,59,
2020-07-21,L,4798,90,70,
2020-07-21,ME,3783,59,38,
2020-07-21,MW,3049,88,12,
2020-07-21,N,5423,373,16,
2020-07-21,PN,6323,456,27,
2020-07-21,PS,3247,231,23,
2020-07-21,RC,4627,735,11,
2020-07-21,RN,2500,221,40,
2020-07-21,RS,4520,557,29,
2020-07-21,S,5936,131,64,
2020-07-21,T,4236,441,32,
2020-07-22,A,2415,64,19,
2020-07-22,B,901,60,8,
2020-07-22,C,1387,45,12,
2020-07-22,D,3754,242,20,
2020-07-22,E,4130,39,15,
2020-07-22,FN,4165,378,21,
2020-07-22,FS,4926,196,34,
2020-07-22,GN,6258,207,13,
2020-07-22,GS,4621,201,6,
2020-07-22,HE,3867,130,17,
2020-07-22,HW,2751,165,15,
2020-07-22,KE,6825,733,41,
2020-07-22,KW,6059,293,57,
2020-07-22,L,4822,122,69,
2020-07-22,ME,3832,103,36,
2020-07-22,MW,3077,69,12,
2020-07-22,N,5492,317,16,
2020-07-22,PN,6400,496,27,
2020-07-22,PS,3297,260,23,
2020-07-22,RC,4730,661,11,
2020-07-22,RN,2539,267,26,
2020-07-22,RS,4578,427,28,
2020-07-22,S,5995,176,67,
2020-07-22,T,4314,457,32,
2020-07-23,A,,61,19,
2020-07-23,B,,56,8,
2020-07-23,C,,46,14,
2020-07-23,D,,297,17,
2020-07-23,E,,38,15,
2020-07-23,FN,,250,21,
2020-07-23,FS,,193,34,
2020-07-23,GN,,204,13,
2020-07-23,GS,,176,6,
2020-07-23,HE,,114,17,
2020-07-23,HW,,179,16,
2020-07-23,KE,,777,41,
2020-07-23,KW,,364,57,
2020-07-23,L,,99,69,
2020-07-23,ME,,61,43,
2020-07-23,MW,,99,12,
2020-07-23,N,,349,16,
2020-07-23,PN,,456,27,
2020-07-23,PS,,222,23,
2020-07-23,RC,,727,11,
2020-07-23,RN,,207,29,
2020-07-23,RS,,531,27,
2020-07-23,S,,90,67,
2020-07-23,T,,441,32,
2020-07-24,A,,64,17,
2020-07-24,B,,56,8,
2020-07-24,C,,48,14,
2020-07-24,D,,287,16,
2020-07-24,E,,37,15,
2020-07-24,FN,,252,21,
2020-07-24,FS,,196,34,
2020-07-24,GN,,204,12,
2020-07-24,GS,,175,6,
2020-07-24,HE,,116,17,
2020-07-24,HW,,181,17,
2020-07-24,KE,,799,44,
2020-07-24,KW,,363,58,
2020-07-24,L,,94,70,
2020-07-24,ME,,65,39,
2020-07-24,MW,,103,12,
2020-07-24,N,,374,16,
2020-07-24,PN,,442,27,
2020-07-24,PS,,187,19,
2020-07-24,RC,,766,11,
2020-07-24,RN,,141,29,
2020-07-24,RS,,521,28,
2020-07-24,S,,134,67,
2020-07-24,T,,564,34,
2020-07-25,A,2533,62,17,
2020-07-25,B,933,56,8,
2020-07-25,C,1438,41,14,
2020-07-25,D,3974,290,16,
2020-07-25,E,4242,35,15,
2020-07-25,FN,4269,253,21,
2020-07-25,FS,5024,146,34,
2020-07-25,GN,6426,197,12,
2020-07-25,GS,4744,181,6,
2020-07-25,HE,3925,113,17,
2020-07-25,HW,2842,187,16,
2020-07-25,KE,6989,820,44,
2020-07-25,KW,6210,346,59,
2020-07-25,L,4897,100,66,
2020-07-25,ME,3922,61,47,
2020-07-25,MW,3166,104,12,
2020-07-25,N,5683,393,16,
2020-07-25,PN,6583,461,28,
2020-07-25,PS,3448,204,21,
2020-07-25,RC,4994,832,11,
2020-07-25,RN,2616,158,30,
2020-07-25,RS,4780,523,26,
2020-07-25,S,6164,57,67,
2020-07-25,T,4491,398,27,
2020-07-26,A,2556,62,20,
2020-07-26,B,937,58,8,
2020-07-26,C,1452,36,14,
2020-07-26,D,4018,279,16,
2020-07-26,E,4276,37,15,
2020-07-26,FN,4308,252,21,
2020-07-26,FS,5095,148,34,
2020-07-26,GN,6481,191,12,
2020-07-26,GS,4786,179,6,
2020-07-26,HE,3950,114,17,
2020-07-26,HW,2869,190,16,
2020-07-26,KE,7055,822,44,
2020-07-26,KW,6245,340,59,
2020-07-26,L,4942,92,69,
2020-07-26,ME,3978,66,47,
2020-07-26,MW,3199,104,12,
2020-07-26,N,5725,331,16,
2020-07-26,PN,6663,413,28,
2020-07-26,PS,3492,229,21,
2020-07-26,RC,5048,858,11,
2020-07-26,RN,2637,178,30,
2020-07-26,RS,4835,510,26,
2020-07-26,S,6206,136,67,
2020-07-26,T,4563,423,27,
2020-07-27,A,2579,61,21,
2020-07-27,B,951,51,8,
2020-07-27,C,1467,40,14,
2020-07-27,D,4105,306,17,
2020-07-27,E,4306,37,15,
2020-07-27,FN,4339,252,21,
2020-07-27,FS,5143,158,34,
2020-07-27,GN,6532,196,12,
2020-07-27,GS,4818,170,6,
2020-07-27,HE,3965,122,17,
2020-07-27,HW,2895,164,10,
2020-07-27,KE,7112,921,44,
2020-07-27,KW,6285,317,59,
2020-07-27,L,4977,99,66,
2020-07-27,ME,3999,65,48,
2020-07-27,MW,3225,117,12,
2020-07-27,N,5766,385,16,
2020-07-27,PN,6724,433,28,
2020-07-27,PS,3514,241,21,
2020-07-27,RC,5112,698,11,
2020-07-27,RN,2664,196,30,
2020-07-27,RS,4904,508,26,
2020-07-27,S,6240,116,64,
2020-07-27,T,4632,369,27,
2020-07-28,A,2606,50,22,
2020-07-28,B,956,59,6,
